episode,q_loss,actor_loss,mean_return
162,36.125524,22.655248,-52.996277
163,37.845937,22.934507,-52.997932
164,36.881098,22.931248,-50.516659
165,41.929122,23.241156,-52.600414
166,40.778710,23.102136,-52.339504
167,51.550949,23.249108,-50.792274
168,37.519435,22.912403,-50.337090
169,43.409747,23.377996,-53.269665
170,42.447253,23.192996,-50.423595
171,41.080363,23.602549,-49.167603
172,31.653355,23.510160,-48.297985
173,37.366467,23.827981,-46.298458
174,35.567384,23.838802,-49.681931
175,51.554944,24.430327,-47.161221
176,58.328532,24.093202,-46.493526
177,42.177462,23.643226,-46.722931
178,50.803843,23.968266,-46.707024
179,45.020191,24.092503,-45.754665
180,57.910611,24.103849,-45.236469
181,51.388871,24.147340,-46.522655
182,55.567154,24.526203,-46.635792
183,61.926537,24.496007,-44.226753
184,68.320839,24.482612,-44.715099
185,51.884184,24.190863,-45.920513
186,60.343403,24.640372,-48.348946
187,48.264763,24.509199,-44.418427
188,62.648251,24.857096,-43.005463
189,63.322346,24.786181,-43.647614
190,72.761739,24.909947,-45.194653
191,50.458311,24.274747,-45.059090
192,68.271291,24.747601,-41.712322
193,47.318235,24.407013,-43.921886
194,62.401857,24.661952,-44.397980
195,55.524354,24.888183,-44.664337
196,47.601433,24.926301,-44.545387
197,55.455500,25.642920,-45.113430
198,59.133513,25.582697,-42.938374
199,63.811308,25.435554,-42.153961
200,78.308844,25.806234,-45.072308
201,69.444937,25.246059,-41.732723
202,80.072662,25.241273,-43.174492
203,65.263836,24.878787,-41.731979
204,51.471836,25.038209,-43.647507
205,63.272305,25.574696,-40.938000
206,66.961259,25.764419,-39.980560
207,77.978587,26.107692,-43.152725
208,49.414164,25.390247,-42.006649
209,75.046669,26.276868,-40.374081
210,69.219190,26.028760,-41.389053
211,68.005928,26.099491,-44.179787
212,68.752838,26.114145,-39.390812
213,66.811456,26.013895,-37.928387
214,54.092516,25.947986,-40.780396
215,57.270899,26.160147,-41.898151
216,79.642659,26.682872,-40.921547
217,76.378320,26.279438,-42.684292
218,71.051353,26.190045,-42.178089
219,79.331208,26.347114,-40.379757
220,61.832296,26.179189,-43.166859
221,61.820976,26.276912,-40.201294
222,63.007405,26.384418,-40.949627
223,73.005057,26.729763,-41.199444
224,77.693813,26.573311,-36.524792
225,65.949819,26.411869,-43.866932
226,80.118458,26.493742,-37.292721
227,71.169095,26.244151,-40.627369
228,67.677130,26.344665,-40.803772
229,68.638797,26.298212,-38.503960
230,77.947493,26.761244,-43.521755
231,74.562631,26.812715,-40.854156
232,78.041189,26.509826,-40.254040
233,78.364776,26.445848,-40.973988
234,77.910244,26.633634,-38.995308
235,56.841510,26.383192,-41.103210
236,73.163142,26.742735,-39.922108
237,55.718053,26.896257,-41.532791
238,63.819819,27.430697,-38.687824
239,61.563326,27.345518,-41.135479
240,72.363207,27.452746,-41.411205
241,71.541946,27.345007,-40.775429
242,72.489217,27.310269,-44.519295
243,65.272647,27.215589,-40.926411
244,80.838139,27.547287,-42.875240
245,66.720063,27.341808,-45.184296
246,71.912482,27.520491,-36.423241
247,69.471847,27.673311,-41.471783
248,65.512727,27.533557,-42.172848
249,80.787204,27.805392,-43.139751
250,68.447530,27.907927,-45.161781
251,69.129711,28.019932,-39.867931
252,56.232108,28.116925,-41.995556
253,75.826292,28.374993,-44.354694
254,68.774278,28.166588,-43.315998
255,69.045005,28.434634,-44.857033
256,65.374531,28.477405,-45.199379
257,96.553312,28.674089,-44.573315
258,64.846222,28.295471,-42.666473
259,88.683877,28.695494,-46.957989
260,110.996962,28.719761,-47.181622
261,65.926427,28.077017,-45.692120
262,79.657704,28.400437,-45.689869
263,73.090898,28.623306,-45.298565
264,70.134544,28.683696,-46.336742
265,84.819123,29.049145,-47.742474
266,83.438635,28.719108,-49.588345
267,85.194681,28.950824,-44.551418
268,88.265795,29.004302,-46.871483
269,96.713633,28.965656,-47.124001
270,87.555760,28.929218,-49.117340
271,72.622704,28.696917,-45.601040
272,83.188404,29.043286,-46.618427
273,88.532958,29.303346,-46.519936
274,86.520183,29.322220,-47.361217
275,89.745985,29.031071,-47.013840
276,81.422413,29.043680,-47.376728
277,96.096994,29.354421,-51.206020
278,76.386059,29.335375,-50.745602
279,74.523733,29.523075,-49.586426
280,88.032306,29.797812,-49.140625
281,60.490231,29.508217,-50.513550
282,88.872509,30.076601,-51.239479
283,80.190353,30.258216,-53.171173
284,83.878127,30.196452,-50.114040
285,73.909527,30.064138,-50.864655
286,82.864454,30.243053,-53.705349
287,70.322528,30.304503,-51.643288
288,77.958060,30.655754,-51.173977
289,76.659033,30.915027,-50.592247
290,86.667898,31.250092,-54.022121
291,75.972240,31.197904,-54.256752
292,84.510863,31.522692,-54.138393
293,88.836689,31.667657,-55.609982
294,100.347364,31.623109,-57.383556
295,88.740568,31.184404,-56.010548
296,83.641725,31.618022,-55.383327
297,88.866170,32.014242,-56.206165
298,103.997724,32.318745,-60.972961
299,97.323170,32.134923,-53.344521
300,84.647475,32.231413,-59.804298
301,89.813354,32.266928,-56.016506
302,94.622840,32.579598,-56.858852
303,108.671244,32.767202,-57.381012
304,74.813029,32.723235,-59.530457
305,100.441209,33.295863,-60.143368
306,84.742646,33.220281,-61.051674
307,115.899203,33.756545,-58.153454
308,85.641264,33.180628,-62.032421
309,90.002525,33.496130,-62.950771
310,82.020385,33.551506,-60.601795
311,94.851414,34.026064,-59.846416
312,141.519340,34.687695,-60.686169
313,97.765495,33.976674,-64.687759
314,86.656792,33.941639,-59.849514
315,122.842495,34.613916,-59.855282
316,92.812366,34.645094,-65.113289
317,106.458518,35.099421,-61.050076
318,111.395533,35.330599,-61.976429
319,108.346631,35.968485,-61.906788
320,111.936992,36.077224,-62.270496
321,122.231367,36.402803,-62.686977
322,117.954263,36.158975,-60.173107
323,114.999788,36.079699,-64.854111
324,121.077251,35.912415,-64.370644
325,105.792113,35.994030,-63.293446
326,114.550498,36.774500,-64.127579
327,82.790049,36.671881,-66.893822
328,122.038505,37.533332,-60.833797
329,144.202205,37.703625,-65.032326
330,104.896546,37.190716,-61.649609
331,104.822808,37.065694,-64.274345
332,121.741468,37.250159,-64.499657
333,118.891761,37.463065,-64.339897
334,129.690579,37.508797,-63.697670
335,130.231674,37.782309,-65.001396
336,126.261899,37.878177,-62.223663
337,122.249120,38.230524,-65.795372
338,113.538847,38.559395,-66.770081
339,83.779226,38.401521,-62.026440
340,165.910146,39.708274,-63.478107
341,140.112743,38.958703,-61.542675
342,112.637525,38.720760,-68.659729
343,148.190800,39.368751,-65.323853
344,148.404764,39.175685,-64.403275
345,162.961069,39.049537,-61.861877
346,154.607536,39.051234,-68.161705
347,116.904316,38.454986,-63.921398
348,92.769069,39.544353,-63.100807
349,122.351478,40.252929,-66.528069
350,138.166260,40.586730,-65.750832
351,138.899895,40.539378,-66.454796
352,153.262049,40.902101,-63.479961
353,162.933868,40.298548,-62.596840
354,154.032311,40.144831,-64.467278
355,136.895794,39.422634,-64.706490
356,116.994802,39.780444,-66.860657
357,152.039812,40.915850,-69.260155
358,172.984814,41.162777,-65.911331
359,116.312326,40.714159,-66.996880
360,132.672459,40.940711,-64.173035
361,140.025671,41.030185,-68.071129
362,193.506229,41.548507,-66.017555
363,144.976630,41.373886,-70.156723
364,153.518822,41.509929,-64.902702
365,142.974820,41.843321,-63.845184
366,177.505642,42.110427,-62.477455
367,169.958043,41.963517,-70.951393
368,138.393037,41.682775,-62.331215
369,151.993822,41.933604,-67.780296
370,115.345271,41.760466,-65.594353
371,148.628328,43.174566,-64.903801
372,162.363388,43.388722,-65.446205
373,132.853686,43.036648,-68.392227
374,172.432320,43.285722,-65.324883
375,161.932687,43.525679,-67.459366
376,157.833653,43.493566,-64.333549
377,147.743404,43.540362,-61.895142
378,146.078631,43.883728,-70.726234
379,195.429311,44.299198,-67.375633
380,167.148240,44.178785,-63.684547
381,138.301252,44.214738,-62.415752
382,201.975501,44.792152,-64.744965
383,164.251102,44.291894,-63.644051
384,193.748812,44.084232,-62.423550
385,163.105516,43.580903,-65.129150
386,150.733725,43.744137,-66.985489
387,168.302130,44.465284,-69.343132
388,201.468084,44.320926,-63.145668
389,188.741985,44.685109,-73.761917
390,234.740550,44.283646,-72.186546
391,160.635449,44.136724,-65.769058
392,198.695789,44.008565,-64.072731
393,178.043906,44.423840,-71.570595
394,234.209945,44.745304,-63.655224
395,166.886674,44.768250,-67.383049
396,192.295412,44.722359,-67.585747
397,167.253497,45.283295,-69.348633
398,174.545345,45.354921,-66.311867
399,129.412903,45.734540,-74.380081
400,201.883046,46.333668,-63.169765
401,228.132586,46.328695,-70.815903
402,198.181660,45.810406,-64.654060
403,217.443901,45.706394,-71.221581
404,185.529661,45.573590,-72.205971
405,189.516805,45.895404,-67.368576
406,188.383274,46.935720,-66.356339
407,157.694027,46.477769,-65.312004
408,218.677934,47.375954,-72.173180
409,182.242239,47.249809,-70.105774
410,140.021223,47.079798,-66.048538
411,214.137670,47.965038,-70.638771
412,204.327291,47.944006,-67.062004
413,229.204868,47.211114,-67.417564
414,203.454855,46.722388,-68.265251
415,218.788529,47.014125,-69.276489
416,181.866695,47.081754,-65.065704
417,195.543336,47.417554,-72.681915
418,225.148351,48.055709,-69.400902
419,152.374376,48.348500,-63.459728
420,205.552467,48.456473,-66.385368
421,197.961996,48.344407,-68.937553
