epoch,mse
1.000000000000000000e+00,1.000878810882568359e+00
5.000000000000000000e+02,7.120656967163085938e-01
1.000000000000000000e+03,6.909580230712890625e-01
1.500000000000000000e+03,6.860964298248291016e-01
2.000000000000000000e+03,6.808356642723083496e-01
2.500000000000000000e+03,6.682477593421936035e-01
3.000000000000000000e+03,6.420443654060363770e-01
3.500000000000000000e+03,6.035776734352111816e-01
4.000000000000000000e+03,5.490588545799255371e-01
4.500000000000000000e+03,4.282929897308349609e-01
5.000000000000000000e+03,3.478353917598724365e-01
5.500000000000000000e+03,3.031194210052490234e-01
6.000000000000000000e+03,2.756031155586242676e-01
6.500000000000000000e+03,2.634623646736145020e-01
7.000000000000000000e+03,2.391326129436492920e-01
7.500000000000000000e+03,2.237598299980163574e-01
8.000000000000000000e+03,2.111053466796875000e-01
8.500000000000000000e+03,2.061606347560882568e-01
9.000000000000000000e+03,1.963472217321395874e-01
9.500000000000000000e+03,1.890414953231811523e-01
1.000000000000000000e+04,1.858790516853332520e-01
1.050000000000000000e+04,1.801442205905914307e-01
1.100000000000000000e+04,1.757613420486450195e-01
1.150000000000000000e+04,1.715622842311859131e-01
1.200000000000000000e+04,1.682265698909759521e-01
1.250000000000000000e+04,1.667849421501159668e-01
1.300000000000000000e+04,1.606024056673049927e-01
1.350000000000000000e+04,1.650672852993011475e-01
1.400000000000000000e+04,1.552796363830566406e-01
1.450000000000000000e+04,1.504059284925460815e-01
1.500000000000000000e+04,1.486131250858306885e-01
1.550000000000000000e+04,1.483430415391921997e-01
1.600000000000000000e+04,1.473868936300277710e-01
1.650000000000000000e+04,1.448068916797637939e-01
1.700000000000000000e+04,1.442717313766479492e-01
1.750000000000000000e+04,1.523494869470596313e-01
1.800000000000000000e+04,1.542825251817703247e-01
1.850000000000000000e+04,1.398317515850067139e-01
1.900000000000000000e+04,1.404782086610794067e-01
1.950000000000000000e+04,1.340720355510711670e-01
2.000000000000000000e+04,1.348622292280197144e-01
2.050000000000000000e+04,1.361478269100189209e-01
2.100000000000000000e+04,1.310167759656906128e-01
2.150000000000000000e+04,1.299174726009368896e-01
2.200000000000000000e+04,1.286716014146804810e-01
2.250000000000000000e+04,1.234974116086959839e-01
2.300000000000000000e+04,1.231498271226882935e-01
2.350000000000000000e+04,1.247939541935920715e-01
2.400000000000000000e+04,1.216432675719261169e-01
2.450000000000000000e+04,1.408823132514953613e-01
2.500000000000000000e+04,1.222802102565765381e-01
2.550000000000000000e+04,1.248931512236595154e-01
2.600000000000000000e+04,1.247286796569824219e-01
2.650000000000000000e+04,1.198681518435478210e-01
2.700000000000000000e+04,1.181947141885757446e-01
2.750000000000000000e+04,1.156288832426071167e-01
2.800000000000000000e+04,1.139504089951515198e-01
