epoch,loss
1.000000000000000000e+00,1.423226982355117798e+00
2.000000000000000000e+00,8.807011395692825317e-01
3.000000000000000000e+00,9.032064676284790039e-01
4.000000000000000000e+00,9.830574840307235718e-01
5.000000000000000000e+00,9.924002736806869507e-01
6.000000000000000000e+00,8.644769564270973206e-01
7.000000000000000000e+00,9.952498525381088257e-01
8.000000000000000000e+00,1.411969557404518127e+00
9.000000000000000000e+00,1.102714583277702332e+00
1.000000000000000000e+01,1.099232137203216553e+00
1.100000000000000000e+01,1.295003190636634827e+00
1.200000000000000000e+01,1.060652360320091248e+00
1.300000000000000000e+01,1.577327430248260498e+00
1.400000000000000000e+01,8.907429650425910950e-01
1.500000000000000000e+01,9.050154238939285278e-01
1.600000000000000000e+01,9.758180677890777588e-01
1.700000000000000000e+01,1.492728799581527710e+00
1.800000000000000000e+01,8.974363356828689575e-01
1.900000000000000000e+01,8.824012354016304016e-01
2.000000000000000000e+01,1.255250900983810425e+00
2.100000000000000000e+01,9.989542663097381592e-01
2.200000000000000000e+01,9.634926915168762207e-01
2.300000000000000000e+01,9.169939756393432617e-01
2.400000000000000000e+01,1.213421657681465149e+00
2.500000000000000000e+01,8.925921320915222168e-01
2.600000000000000000e+01,9.552386552095413208e-01
2.700000000000000000e+01,8.638594225049018860e-01
2.800000000000000000e+01,8.432491421699523926e-01
2.900000000000000000e+01,1.033507555723190308e+00
3.000000000000000000e+01,9.454132318496704102e-01
3.100000000000000000e+01,9.648431092500686646e-01
3.200000000000000000e+01,8.553635999560356140e-01
3.300000000000000000e+01,8.537433594465255737e-01
3.400000000000000000e+01,1.291240140795707703e+00
3.500000000000000000e+01,1.599093735218048096e+00
3.600000000000000000e+01,8.922771960496902466e-01
3.700000000000000000e+01,8.974990099668502808e-01
3.800000000000000000e+01,9.739615619182586670e-01
3.900000000000000000e+01,9.721317291259765625e-01
4.000000000000000000e+01,8.799067735671997070e-01
4.100000000000000000e+01,9.309124201536178589e-01
4.200000000000000000e+01,1.660952016711235046e+00
4.300000000000000000e+01,8.712157383561134338e-01
4.400000000000000000e+01,8.477299213409423828e-01
4.500000000000000000e+01,8.774368837475776672e-01
4.600000000000000000e+01,1.666670426726341248e+00
4.700000000000000000e+01,1.562909379601478577e+00
4.800000000000000000e+01,8.617071136832237244e-01
4.900000000000000000e+01,1.027451619505882263e+00
5.000000000000000000e+01,8.743342757225036621e-01
5.100000000000000000e+01,9.141815602779388428e-01
5.200000000000000000e+01,1.266131743788719177e+00
5.300000000000000000e+01,9.161607474088668823e-01
5.400000000000000000e+01,9.477292895317077637e-01
5.500000000000000000e+01,9.983412474393844604e-01
5.600000000000000000e+01,9.391558468341827393e-01
5.700000000000000000e+01,8.355622515082359314e-01
5.800000000000000000e+01,8.727503418922424316e-01
5.900000000000000000e+01,8.224629163742065430e-01
6.000000000000000000e+01,8.019673451781272888e-01
6.100000000000000000e+01,8.053663000464439392e-01
6.200000000000000000e+01,8.769275099039077759e-01
6.300000000000000000e+01,9.537747651338577271e-01
6.400000000000000000e+01,7.635724470019340515e-01
6.500000000000000000e+01,7.514033243060112000e-01
6.600000000000000000e+01,9.003220498561859131e-01
6.700000000000000000e+01,7.420525923371315002e-01
6.800000000000000000e+01,6.828376278281211853e-01
6.900000000000000000e+01,7.049075365066528320e-01
7.000000000000000000e+01,6.776019409298896790e-01
7.100000000000000000e+01,6.302166096866130829e-01
7.200000000000000000e+01,1.027338355779647827e+00
7.300000000000000000e+01,6.418874859809875488e-01
7.400000000000000000e+01,6.204857379198074341e-01
7.500000000000000000e+01,5.777540579438209534e-01
7.600000000000000000e+01,6.768718063831329346e-01
7.700000000000000000e+01,6.599627584218978882e-01
7.800000000000000000e+01,1.089070431888103485e+00
7.900000000000000000e+01,5.522113293409347534e-01
8.000000000000000000e+01,5.981423407793045044e-01
8.100000000000000000e+01,5.839608684182167053e-01
8.200000000000000000e+01,6.982322931289672852e-01
8.300000000000000000e+01,5.593701973557472229e-01
8.400000000000000000e+01,5.932621210813522339e-01
8.500000000000000000e+01,5.345357246696949005e-01
8.600000000000000000e+01,5.662019476294517517e-01
8.700000000000000000e+01,5.303271077573299408e-01
8.800000000000000000e+01,5.813263058662414551e-01
8.900000000000000000e+01,5.693254321813583374e-01
9.000000000000000000e+01,6.097770482301712036e-01
9.100000000000000000e+01,5.007045362144708633e-01
9.200000000000000000e+01,5.599167793989181519e-01
9.300000000000000000e+01,5.020918361842632294e-01
9.400000000000000000e+01,1.126021586358547211e+00
9.500000000000000000e+01,5.351551622152328491e-01
9.600000000000000000e+01,4.975064136087894440e-01
9.700000000000000000e+01,5.362179577350616455e-01
9.800000000000000000e+01,5.142231211066246033e-01
9.900000000000000000e+01,5.126252546906471252e-01
1.000000000000000000e+02,1.137480005621910095e+00
1.010000000000000000e+02,5.177406072616577148e-01
1.020000000000000000e+02,9.130140990018844604e-01
1.030000000000000000e+02,5.116424337029457092e-01
1.040000000000000000e+02,8.292352110147476196e-01
1.050000000000000000e+02,9.338162019848823547e-01
1.060000000000000000e+02,5.530678033828735352e-01
1.070000000000000000e+02,5.377296432852745056e-01
1.080000000000000000e+02,4.914455637335777283e-01
1.090000000000000000e+02,5.813223421573638916e-01
1.100000000000000000e+02,4.898464381694793701e-01
1.110000000000000000e+02,8.115710318088531494e-01
1.120000000000000000e+02,5.289232879877090454e-01
1.130000000000000000e+02,5.252822935581207275e-01
1.140000000000000000e+02,5.435027405619621277e-01
1.150000000000000000e+02,9.391712248325347900e-01
1.160000000000000000e+02,4.933774545788764954e-01
1.170000000000000000e+02,5.097684487700462341e-01
1.180000000000000000e+02,4.662977345287799835e-01
1.190000000000000000e+02,5.669211149215698242e-01
1.200000000000000000e+02,1.048375867307186127e+00
1.210000000000000000e+02,4.851763769984245300e-01
1.220000000000000000e+02,4.923321381211280823e-01
1.230000000000000000e+02,4.998787939548492432e-01
1.240000000000000000e+02,9.568388536572456360e-01
1.250000000000000000e+02,5.011721849441528320e-01
1.260000000000000000e+02,9.050150439143180847e-01
1.270000000000000000e+02,4.803384244441986084e-01
1.280000000000000000e+02,4.905996993184089661e-01
1.290000000000000000e+02,4.886296018958091736e-01
1.300000000000000000e+02,4.501668307930231094e-01
1.310000000000000000e+02,4.949137717485427856e-01
1.320000000000000000e+02,4.887865483760833740e-01
1.330000000000000000e+02,4.810343235731124878e-01
1.340000000000000000e+02,4.818646088242530823e-01
1.350000000000000000e+02,5.023251548409461975e-01
1.360000000000000000e+02,5.058058723807334900e-01
1.370000000000000000e+02,4.985306113958358765e-01
1.380000000000000000e+02,4.661703966557979584e-01
1.390000000000000000e+02,4.914114996790885925e-01
1.400000000000000000e+02,4.902685657143592834e-01
1.410000000000000000e+02,4.857852384448051453e-01
1.420000000000000000e+02,4.970122650265693665e-01
1.430000000000000000e+02,4.687168411910533905e-01
1.440000000000000000e+02,4.687362574040889740e-01
1.450000000000000000e+02,4.755504503846168518e-01
1.460000000000000000e+02,4.622920751571655273e-01
1.470000000000000000e+02,5.261926501989364624e-01
1.480000000000000000e+02,5.232306122779846191e-01
1.490000000000000000e+02,4.537809118628501892e-01
1.500000000000000000e+02,8.471111282706260681e-01
1.510000000000000000e+02,4.509223587810993195e-01
1.520000000000000000e+02,4.591104425489902496e-01
1.530000000000000000e+02,4.556236602365970612e-01
1.540000000000000000e+02,4.495738521218299866e-01
1.550000000000000000e+02,4.654538631439208984e-01
1.560000000000000000e+02,4.891508519649505615e-01
1.570000000000000000e+02,4.785282760858535767e-01
1.580000000000000000e+02,4.865676611661911011e-01
1.590000000000000000e+02,4.994534775614738464e-01
1.600000000000000000e+02,4.999954029917716980e-01
1.610000000000000000e+02,4.422684870660305023e-01
1.620000000000000000e+02,4.699001386761665344e-01
1.630000000000000000e+02,8.791934847831726074e-01
1.640000000000000000e+02,4.604029655456542969e-01
1.650000000000000000e+02,5.437098145484924316e-01
1.660000000000000000e+02,4.652153439819812775e-01
1.670000000000000000e+02,4.733817279338836670e-01
1.680000000000000000e+02,4.546912088990211487e-01
1.690000000000000000e+02,4.494830295443534851e-01
1.700000000000000000e+02,4.523644819855690002e-01
1.710000000000000000e+02,7.232344895601272583e-01
1.720000000000000000e+02,4.438664466142654419e-01
1.730000000000000000e+02,4.992262423038482666e-01
1.740000000000000000e+02,4.741509631276130676e-01
1.750000000000000000e+02,8.375751376152038574e-01
1.760000000000000000e+02,4.559464305639266968e-01
1.770000000000000000e+02,4.436818957328796387e-01
1.780000000000000000e+02,4.623211771249771118e-01
1.790000000000000000e+02,9.499501958489418030e-01
1.800000000000000000e+02,4.868333116173744202e-01
1.810000000000000000e+02,9.693978801369667053e-01
1.820000000000000000e+02,4.454533010721206665e-01
1.830000000000000000e+02,4.135545101016759872e-01
1.840000000000000000e+02,4.566515386104583740e-01
1.850000000000000000e+02,4.818082302808761597e-01
1.860000000000000000e+02,4.179565981030464172e-01
1.870000000000000000e+02,4.588463157415390015e-01
1.880000000000000000e+02,4.726356342434883118e-01
1.890000000000000000e+02,4.915432035923004150e-01
1.900000000000000000e+02,9.664534628391265869e-01
1.910000000000000000e+02,4.356397837400436401e-01
1.920000000000000000e+02,4.445396661758422852e-01
1.930000000000000000e+02,6.972635686397552490e-01
1.940000000000000000e+02,4.387027770280838013e-01
1.950000000000000000e+02,4.440324828028678894e-01
1.960000000000000000e+02,9.291962683200836182e-01
1.970000000000000000e+02,4.180297963321208954e-01
1.980000000000000000e+02,4.433032870292663574e-01
1.990000000000000000e+02,4.513960778713226318e-01
2.000000000000000000e+02,4.472501054406166077e-01
2.010000000000000000e+02,4.157126508653163910e-01
2.020000000000000000e+02,4.066951088607311249e-01
2.030000000000000000e+02,4.365525990724563599e-01
2.040000000000000000e+02,4.828974306583404541e-01
2.050000000000000000e+02,4.291926845908164978e-01
2.060000000000000000e+02,4.314610362052917480e-01
2.070000000000000000e+02,4.047693349421024323e-01
2.080000000000000000e+02,6.828290969133377075e-01
2.090000000000000000e+02,4.523952677845954895e-01
2.100000000000000000e+02,4.784100279211997986e-01
2.110000000000000000e+02,4.141942039132118225e-01
2.120000000000000000e+02,4.421064108610153198e-01
2.130000000000000000e+02,4.329607412219047546e-01
2.140000000000000000e+02,4.251794293522834778e-01
2.150000000000000000e+02,4.351558536291122437e-01
2.160000000000000000e+02,7.727999091148376465e-01
2.170000000000000000e+02,4.119786545634269714e-01
2.180000000000000000e+02,4.560704976320266724e-01
2.190000000000000000e+02,4.224894642829895020e-01
2.200000000000000000e+02,4.703634753823280334e-01
2.210000000000000000e+02,4.227461293339729309e-01
2.220000000000000000e+02,6.437495946884155273e-01
2.230000000000000000e+02,7.672824040055274963e-01
2.240000000000000000e+02,4.148877970874309540e-01
2.250000000000000000e+02,4.171771258115768433e-01
2.260000000000000000e+02,4.553732722997665405e-01
2.270000000000000000e+02,4.033048301935195923e-01
2.280000000000000000e+02,4.087989181280136108e-01
2.290000000000000000e+02,4.177538156509399414e-01
2.300000000000000000e+02,4.273431599140167236e-01
2.310000000000000000e+02,4.039721973240375519e-01
2.320000000000000000e+02,4.037165269255638123e-01
2.330000000000000000e+02,8.802371695637702942e-01
2.340000000000000000e+02,4.388403743505477905e-01
2.350000000000000000e+02,4.054348953068256378e-01
2.360000000000000000e+02,4.318865835666656494e-01
2.370000000000000000e+02,4.365686401724815369e-01
2.380000000000000000e+02,4.079784154891967773e-01
2.390000000000000000e+02,4.399217776954174042e-01
2.400000000000000000e+02,4.466645345091819763e-01
2.410000000000000000e+02,3.887966722249984741e-01
2.420000000000000000e+02,8.774412386119365692e-01
2.430000000000000000e+02,3.937320671975612640e-01
2.440000000000000000e+02,4.114912450313568115e-01
2.450000000000000000e+02,4.117860198020935059e-01
2.460000000000000000e+02,4.371344968676567078e-01
2.470000000000000000e+02,4.115231558680534363e-01
2.480000000000000000e+02,4.385771974921226501e-01
2.490000000000000000e+02,4.171606898307800293e-01
2.500000000000000000e+02,8.587672077119350433e-01
2.510000000000000000e+02,4.517036825418472290e-01
2.520000000000000000e+02,4.267592579126358032e-01
2.530000000000000000e+02,4.000687785446643829e-01
2.540000000000000000e+02,3.934344723820686340e-01
2.550000000000000000e+02,3.922009989619255066e-01
2.560000000000000000e+02,4.265909269452095032e-01
2.570000000000000000e+02,4.166701436042785645e-01
2.580000000000000000e+02,4.005528315901756287e-01
2.590000000000000000e+02,4.289110898971557617e-01
2.600000000000000000e+02,4.049514308571815491e-01
2.610000000000000000e+02,3.807633370161056519e-01
2.620000000000000000e+02,8.484413102269172668e-01
2.630000000000000000e+02,4.087384045124053955e-01
2.640000000000000000e+02,3.755705319344997406e-01
2.650000000000000000e+02,3.958092257380485535e-01
2.660000000000000000e+02,3.964943811297416687e-01
2.670000000000000000e+02,4.022843167185783386e-01
2.680000000000000000e+02,4.010846018791198730e-01
2.690000000000000000e+02,3.927057087421417236e-01
2.700000000000000000e+02,4.410131201148033142e-01
2.710000000000000000e+02,3.861775957047939301e-01
2.720000000000000000e+02,3.912633396685123444e-01
2.730000000000000000e+02,6.443470194935798645e-01
2.740000000000000000e+02,4.170764312148094177e-01
2.750000000000000000e+02,3.706001304090023041e-01
2.760000000000000000e+02,4.128630310297012329e-01
2.770000000000000000e+02,3.835237808525562286e-01
2.780000000000000000e+02,4.064458534121513367e-01
2.790000000000000000e+02,4.128850698471069336e-01
2.800000000000000000e+02,3.902441747486591339e-01
2.810000000000000000e+02,4.203219860792160034e-01
2.820000000000000000e+02,3.989919871091842651e-01
2.830000000000000000e+02,3.909449055790901184e-01
2.840000000000000000e+02,3.789830207824707031e-01
2.850000000000000000e+02,3.784982562065124512e-01
2.860000000000000000e+02,4.048746004700660706e-01
2.870000000000000000e+02,3.912625983357429504e-01
2.880000000000000000e+02,3.926226869225502014e-01
2.890000000000000000e+02,4.008330777287483215e-01
2.900000000000000000e+02,4.149253107607364655e-01
2.910000000000000000e+02,3.804734572768211365e-01
2.920000000000000000e+02,3.914333023130893707e-01
2.930000000000000000e+02,3.939595818519592285e-01
2.940000000000000000e+02,3.787759393453598022e-01
2.950000000000000000e+02,4.335072413086891174e-01
2.960000000000000000e+02,3.858490884304046631e-01
2.970000000000000000e+02,3.980633541941642761e-01
2.980000000000000000e+02,3.808692619204521179e-01
2.990000000000000000e+02,4.059207215905189514e-01
3.000000000000000000e+02,4.139372780919075012e-01
3.010000000000000000e+02,3.680261559784412384e-01
3.020000000000000000e+02,3.676840402185916901e-01
3.030000000000000000e+02,4.098586216568946838e-01
3.040000000000000000e+02,3.974776789546012878e-01
3.050000000000000000e+02,3.833084963262081146e-01
3.060000000000000000e+02,3.714939355850219727e-01
3.070000000000000000e+02,3.964804038405418396e-01
3.080000000000000000e+02,4.171621017158031464e-01
3.090000000000000000e+02,4.047142341732978821e-01
3.100000000000000000e+02,1.106789268553256989e+00
3.110000000000000000e+02,4.076399654150009155e-01
3.120000000000000000e+02,3.877559266984462738e-01
3.130000000000000000e+02,6.831349246203899384e-01
3.140000000000000000e+02,3.768127709627151489e-01
3.150000000000000000e+02,8.029071949422359467e-01
3.160000000000000000e+02,6.157012768089771271e-01
3.170000000000000000e+02,3.922038599848747253e-01
3.180000000000000000e+02,3.712747581303119659e-01
3.190000000000000000e+02,6.153120398521423340e-01
3.200000000000000000e+02,3.687912672758102417e-01
3.210000000000000000e+02,3.668931871652603149e-01
3.220000000000000000e+02,3.671063818037509918e-01
3.230000000000000000e+02,5.846690982580184937e-01
3.240000000000000000e+02,3.661613464355468750e-01
3.250000000000000000e+02,3.715219199657440186e-01
3.260000000000000000e+02,6.741680428385734558e-01
3.270000000000000000e+02,3.649005368351936340e-01
3.280000000000000000e+02,3.855572231113910675e-01
3.290000000000000000e+02,6.629853844642639160e-01
3.300000000000000000e+02,3.592966496944427490e-01
3.310000000000000000e+02,5.748451612889766693e-01
3.320000000000000000e+02,3.919099420309066772e-01
3.330000000000000000e+02,3.808406144380569458e-01
3.340000000000000000e+02,3.840500786900520325e-01
3.350000000000000000e+02,4.111864939332008362e-01
3.360000000000000000e+02,3.925334811210632324e-01
3.370000000000000000e+02,3.795965760946273804e-01
3.380000000000000000e+02,3.563346564769744873e-01
3.390000000000000000e+02,3.612605892121791840e-01
3.400000000000000000e+02,3.915514945983886719e-01
3.410000000000000000e+02,3.458430431783199310e-01
3.420000000000000000e+02,3.622839003801345825e-01
3.430000000000000000e+02,4.016189575195312500e-01
3.440000000000000000e+02,3.400194384157657623e-01
