epoch,mse
1.000000000000000000e+00,3.647813498973846436e-01
5.000000000000000000e+02,3.115816116333007812e-01
1.000000000000000000e+03,3.078106939792633057e-01
1.500000000000000000e+03,3.064295351505279541e-01
2.000000000000000000e+03,3.057907521724700928e-01
2.500000000000000000e+03,1.984794884920120239e-01
3.000000000000000000e+03,1.722693145275115967e-01
3.500000000000000000e+03,1.345510035753250122e-01
4.000000000000000000e+03,8.912716805934906006e-02
4.500000000000000000e+03,6.966665387153625488e-02
5.000000000000000000e+03,6.072656437754631042e-02
5.500000000000000000e+03,5.197621136903762817e-02
6.000000000000000000e+03,4.583791643381118774e-02
6.500000000000000000e+03,4.161012172698974609e-02
7.000000000000000000e+03,3.786990791559219360e-02
7.500000000000000000e+03,3.677864372730255127e-02
8.000000000000000000e+03,3.227735310792922974e-02
8.500000000000000000e+03,3.025416471064090729e-02
9.000000000000000000e+03,2.823301218450069427e-02
9.500000000000000000e+03,2.701554633677005768e-02
1.000000000000000000e+04,2.615012787282466888e-02
1.050000000000000000e+04,2.436084859073162079e-02
1.100000000000000000e+04,2.404013276100158691e-02
1.150000000000000000e+04,2.246674150228500366e-02
1.200000000000000000e+04,2.299112081527709961e-02
1.250000000000000000e+04,2.126391604542732239e-02
1.300000000000000000e+04,2.032708935439586639e-02
1.350000000000000000e+04,1.981888897716999054e-02
1.400000000000000000e+04,1.959296502172946930e-02
1.450000000000000000e+04,1.868694275617599487e-02
1.500000000000000000e+04,1.831334829330444336e-02
1.550000000000000000e+04,1.802294515073299408e-02
1.600000000000000000e+04,1.727025583386421204e-02
1.650000000000000000e+04,1.788103021681308746e-02
1.700000000000000000e+04,1.666473411023616791e-02
1.750000000000000000e+04,1.660601049661636353e-02
1.800000000000000000e+04,1.578184962272644043e-02
1.850000000000000000e+04,1.618047244846820831e-02
1.900000000000000000e+04,1.559370290488004684e-02
1.950000000000000000e+04,1.517091691493988037e-02
2.000000000000000000e+04,1.594942063093185425e-02
2.050000000000000000e+04,1.667543314397335052e-02
2.100000000000000000e+04,1.457831915467977524e-02
2.150000000000000000e+04,1.432112697511911392e-02
2.200000000000000000e+04,1.390629354864358902e-02
2.250000000000000000e+04,1.358807832002639771e-02
2.300000000000000000e+04,1.338931452482938766e-02
2.350000000000000000e+04,1.435571443289518356e-02
2.400000000000000000e+04,1.288828905671834946e-02
2.450000000000000000e+04,1.373270992189645767e-02
2.500000000000000000e+04,1.301186624914407730e-02
2.550000000000000000e+04,1.275919098407030106e-02
2.600000000000000000e+04,1.270622760057449341e-02
2.650000000000000000e+04,1.261894684284925461e-02
2.700000000000000000e+04,1.205308549106121063e-02
2.750000000000000000e+04,1.168531924486160278e-02
2.800000000000000000e+04,1.191780902445316315e-02
2.850000000000000000e+04,1.140391267836093903e-02
2.900000000000000000e+04,1.198040973395109177e-02
2.950000000000000000e+04,1.126009970903396606e-02
3.000000000000000000e+04,1.096060220152139664e-02
3.050000000000000000e+04,1.072939019650220871e-02
3.100000000000000000e+04,1.073119044303894043e-02
3.150000000000000000e+04,1.042267680168151855e-02
3.200000000000000000e+04,1.072235591709613800e-02
3.250000000000000000e+04,1.014208886772394180e-02
3.300000000000000000e+04,1.009400095790624619e-02
3.350000000000000000e+04,1.005756016820669174e-02
3.400000000000000000e+04,1.003224030137062073e-02
3.450000000000000000e+04,1.001412235200405121e-02
3.500000000000000000e+04,9.971601888537406921e-03
3.550000000000000000e+04,9.942994453012943268e-03
3.600000000000000000e+04,9.896165691316127777e-03
3.650000000000000000e+04,9.880100376904010773e-03
3.700000000000000000e+04,9.901918470859527588e-03
3.750000000000000000e+04,9.900877252221107483e-03
3.800000000000000000e+04,9.881175123155117035e-03
3.850000000000000000e+04,9.849700145423412323e-03
3.900000000000000000e+04,9.871639311313629150e-03
3.950000000000000000e+04,9.860538877546787262e-03
4.000000000000000000e+04,9.875552728772163391e-03
4.050000000000000000e+04,9.847291745245456696e-03
4.100000000000000000e+04,9.829653427004814148e-03
4.150000000000000000e+04,9.863995946943759918e-03
4.200000000000000000e+04,9.866338223218917847e-03
4.250000000000000000e+04,9.870611131191253662e-03
4.300000000000000000e+04,9.868944063782691956e-03
4.350000000000000000e+04,9.890492074191570282e-03
4.400000000000000000e+04,9.855617769062519073e-03
4.450000000000000000e+04,9.849280118942260742e-03
4.500000000000000000e+04,9.879541583359241486e-03
4.550000000000000000e+04,9.837947785854339600e-03
4.600000000000000000e+04,9.898353368043899536e-03
4.650000000000000000e+04,9.854115545749664307e-03
4.700000000000000000e+04,9.878998622298240662e-03
4.750000000000000000e+04,9.839602746069431305e-03
4.800000000000000000e+04,9.861423633992671967e-03
4.850000000000000000e+04,9.866710752248764038e-03
4.900000000000000000e+04,9.853600524365901947e-03
4.950000000000000000e+04,9.837955236434936523e-03
5.000000000000000000e+04,9.853123687207698822e-03
