idx,total_return_rl,total_cost_rl,total_cost_numerical_adjoint
0,-40.96821594238281,40.96821594238281,40.43243408203125
1,-50.87012481689453,50.87012481689453,50.255638122558594
2,-38.49419021606445,38.49419021606445,37.97164535522461
3,-45.7647705078125,45.7647705078125,45.19027328491211
4,-30.321033477783203,30.321033477783203,29.82788848876953
5,-44.317604064941406,44.317604064941406,43.753292083740234
6,-35.373008728027344,35.373008728027344,34.85493087768555
7,-34.2918815612793,34.2918815612793,33.80830764770508
mean,-40.05010223388672,40.05010223388672,39.511802673339844
