example,x,t,pred,target,diff
0,0.0,0.0,0.012488052,-0.02099595,0.033484004
0,0.0,0.016666666666666666,-0.023658,-0.020415481,0.0032425188
0,0.0,0.03333333333333333,-0.021552509,-0.020305416,0.0012470931
0,0.0,0.05,-0.013343357,-0.020599877,0.007256521
0,0.0,0.06666666666666667,-0.014484104,-0.02119775,0.0067136455
0,0.0,0.08333333333333333,-0.020916183,-0.021939011,0.0010228287
0,0.0,0.1,-0.025710491,-0.022733718,0.0029767733
0,0.0,0.11666666666666667,-0.026396526,-0.023433534,0.0029629916
0,0.0,0.13333333333333333,-0.024776349,-0.023894992,0.0008813571
0,0.0,0.15,-0.023161406,-0.024049954,0.0008885488
0,0.0,0.16666666666666666,-0.022538194,-0.023885012,0.0013468172
0,0.0,0.18333333333333332,-0.023021404,-0.023362096,0.0003406927
0,0.0,0.2,-0.023961052,-0.022624856,0.0013361964
0,0.0,0.21666666666666667,-0.024075417,-0.021635672,0.0024397448
0,0.0,0.23333333333333334,-0.022922473,-0.020599388,0.0023230854
0,0.0,0.25,-0.020465357,-0.019553902,0.0009114556
0,0.0,0.26666666666666666,-0.016993139,-0.018540537,0.001547398
0,0.0,0.2833333333333333,-0.012976889,-0.017592652,0.004615763
0,0.0,0.3,-0.0092789605,-0.01660078,0.0073218197
0,0.0,0.31666666666666665,-0.006679736,-0.015518643,0.008838907
0,0.0,0.3333333333333333,-0.0051666945,-0.0142142065,0.009047512
0,0.0,0.35,-0.004417889,-0.012613919,0.00819603
0,0.0,0.36666666666666664,-0.004850205,-0.010643229,0.005793024
0,0.0,0.3833333333333333,-0.005844526,-0.00839423,0.0025497042
0,0.0,0.4,-0.0069860816,-0.0060565732,0.00092950836
0,0.0,0.4166666666666667,-0.007717289,-0.003899321,0.003817968
0,0.0,0.43333333333333335,-0.0069715083,-0.0021109246,0.0048605837
0,0.0,0.45,-0.0049993806,-0.00078659505,0.0042127855
0,0.0,0.4666666666666667,-0.0032281913,1.40070915e-05,0.0032421984
0,0.0,0.48333333333333334,-0.0019117668,0.00031567365,0.0022274405
0,0.0,0.5,-0.0007139705,-6.4484775e-06,0.00070752203
0,0.041666666666666664,0.0,-0.21079217,-0.21860494,0.007812768
0,0.041666666666666664,0.016666666666666666,-0.24575694,-0.21255037,0.033206567
0,0.041666666666666664,0.03333333333333333,-0.22967687,-0.21160595,0.018070921
0,0.041666666666666664,0.05,-0.20922542,-0.21470915,0.0054837316
0,0.041666666666666664,0.06666666666666667,-0.20116113,-0.22080061,0.019639477
0,0.041666666666666664,0.08333333333333333,-0.20429353,-0.22862735,0.02433382
0,0.041666666666666664,0.1,-0.21196961,-0.23684633,0.024876714
0,0.041666666666666664,0.11666666666666667,-0.21929298,-0.24405058,0.024757594
0,0.041666666666666664,0.13333333333333333,-0.22455744,-0.24894461,0.024387166
0,0.041666666666666664,0.15,-0.22833076,-0.2506707,0.02233994
0,0.041666666666666664,0.16666666666666666,-0.2317843,-0.24880615,0.01702185
0,0.041666666666666664,0.18333333333333332,-0.23437776,-0.2435064,0.009128645
0,0.041666666666666664,0.2,-0.23434877,-0.23542115,0.001072377
0,0.041666666666666664,0.21666666666666667,-0.23262525,-0.22543292,0.0071923286
0,0.041666666666666664,0.23333333333333334,-0.22856095,-0.21458368,0.013977274
0,0.041666666666666664,0.25,-0.22127828,-0.20365553,0.017622754
0,0.041666666666666664,0.26666666666666666,-0.2103815,-0.19314006,0.017241433
0,0.041666666666666664,0.2833333333333333,-0.19599852,-0.18308419,0.01291433
0,0.041666666666666664,0.3,-0.17887042,-0.17290401,0.00596641
0,0.041666666666666664,0.31666666666666665,-0.16047621,-0.16168615,0.0012099445
0,0.041666666666666664,0.3333333333333333,-0.1421411,-0.14818345,0.0060423464
0,0.041666666666666664,0.35,-0.124668404,-0.13134716,0.00667876
0,0.041666666666666664,0.36666666666666664,-0.10922704,-0.1107868,0.0015597641
0,0.041666666666666664,0.3833333333333333,-0.095922954,-0.087392196,0.008530758
0,0.041666666666666664,0.4,-0.08462262,-0.063187644,0.021434978
0,0.041666666666666664,0.4166666666666667,-0.0749931,-0.040638883,0.034354214
0,0.041666666666666664,0.43333333333333335,-0.06614632,-0.021931201,0.04421512
0,0.041666666666666664,0.45,-0.057540584,-0.008235566,0.049305018
0,0.041666666666666664,0.4666666666666667,-0.04997942,0.0001282692,0.050107688
0,0.041666666666666664,0.48333333333333334,-0.04389319,0.0032084584,0.047101647
0,0.041666666666666664,0.5,-0.03902785,-1.2878329e-05,0.039014973
0,0.08333333333333333,0.0,-0.1532677,-0.1326157,0.020651996
0,0.08333333333333333,0.016666666666666666,-0.21105954,-0.1473748,0.06368475
0,0.08333333333333333,0.03333333333333333,-0.21571352,-0.16176912,0.053944394
0,0.08333333333333333,0.05,-0.20739561,-0.17557377,0.031821847
0,0.08333333333333333,0.06666666666666667,-0.20161794,-0.18877392,0.012844026
0,0.08333333333333333,0.08333333333333333,-0.20157677,-0.20134658,0.00023019314
0,0.08333333333333333,0.1,-0.20355634,-0.21317032,0.009613976
0,0.08333333333333333,0.11666666666666667,-0.20476633,-0.22397184,0.01920551
0,0.08333333333333333,0.13333333333333333,-0.20506555,-0.23341969,0.028354138
0,0.08333333333333333,0.15,-0.20588468,-0.24096587,0.035081193
0,0.08333333333333333,0.16666666666666666,-0.20841785,-0.24609497,0.037677124
0,0.08333333333333333,0.18333333333333332,-0.21155457,-0.24817881,0.036624238
0,0.08333333333333333,0.2,-0.21288502,-0.24684377,0.033958748
0,0.08333333333333333,0.21666666666666667,-0.21325122,-0.24180393,0.028552711
0,0.08333333333333333,0.23333333333333334,-0.21178141,-0.23323719,0.02145578
0,0.08333333333333333,0.25,-0.20729928,-0.22178306,0.01448378
0,0.08333333333333333,0.26666666666666666,-0.19907032,-0.20835523,0.009284914
0,0.08333333333333333,0.2833333333333333,-0.18695043,-0.19412147,0.007171035
0,0.08333333333333333,0.3,-0.17153874,-0.1800889,0.008550152
0,0.08333333333333333,0.31666666666666665,-0.15437585,-0.1666723,0.012296453
0,0.08333333333333333,0.3333333333333333,-0.13695702,-0.15378824,0.01683122
0,0.08333333333333333,0.35,-0.1201996,-0.14065835,0.02045875
0,0.08333333333333333,0.36666666666666664,-0.10537578,-0.12622516,0.020849377
0,0.08333333333333333,0.3833333333333333,-0.09266193,-0.10958754,0.01692561
0,0.08333333333333333,0.4,-0.08192091,-0.09064755,0.008726642
0,0.08333333333333333,0.4166666666666667,-0.07285209,-0.07033354,0.0025185496
0,0.08333333333333333,0.43333333333333335,-0.064684555,-0.05023868,0.014445875
0,0.08333333333333333,0.45,-0.05674666,-0.0321267,0.024619963
0,0.08333333333333333,0.4666666666666667,-0.04960739,-0.01737517,0.032232217
0,0.08333333333333333,0.48333333333333334,-0.043759175,-0.0066516027,0.037107572
0,0.08333333333333333,0.5,-0.039055,2.6933849e-06,0.039057694
0,0.125,0.0,-0.04943198,-0.045682464,0.0037495159
0,0.125,0.016666666666666666,-0.078521065,-0.053173527,0.025347538
0,0.125,0.03333333333333333,-0.093882985,-0.06198981,0.031893175
0,0.125,0.05,-0.10543531,-0.0717502,0.03368511
0,0.125,0.06666666666666667,-0.115698576,-0.08211892,0.033579655
0,0.125,0.08333333333333333,-0.12537548,-0.09290428,0.032471202
0,0.125,0.1,-0.13300051,-0.10382268,0.02917783
0,0.125,0.11666666666666667,-0.13769954,-0.114721134,0.02297841
0,0.125,0.13333333333333333,-0.14062762,-0.12541774,0.015209883
0,0.125,0.15,-0.14385352,-0.13565487,0.008198649
0,0.125,0.16666666666666666,-0.14883974,-0.1452596,0.003580138
0,0.125,0.18333333333333332,-0.15469423,-0.15392797,0.0007662624
0,0.125,0.2,-0.1589854,-0.16132993,0.002344519
0,0.125,0.21666666666666667,-0.16230035,-0.16710691,0.0048065633
0,0.125,0.23333333333333334,-0.16359508,-0.17076847,0.007173389
0,0.125,0.25,-0.16162209,-0.17188081,0.010258719
0,0.125,0.26666666666666666,-0.15571952,-0.17010358,0.014384061
0,0.125,0.2833333333333333,-0.1459196,-0.16533619,0.019416586
0,0.125,0.3,-0.13307332,-0.1578692,0.02479589
0,0.125,0.31666666666666665,-0.11884448,-0.14837846,0.029533982
0,0.125,0.3333333333333333,-0.104631454,-0.13773516,0.033103704
0,0.125,0.35,-0.091168314,-0.12671442,0.03554611
0,0.125,0.36666666666666664,-0.07965917,-0.11558767,0.035928495
0,0.125,0.3833333333333333,-0.07012652,-0.104132816,0.034006298
0,0.125,0.4,-0.062304236,-0.09161969,0.029315457
0,0.125,0.4166666666666667,-0.055856235,-0.07754346,0.021687225
0,0.125,0.43333333333333335,-0.05009605,-0.06177451,0.011678461
0,0.125,0.45,-0.044307746,-0.04493558,0.00062783435
0,0.125,0.4666666666666667,-0.03887101,-0.028187707,0.010683302
0,0.125,0.48333333333333334,-0.034317147,-0.0128755495,0.021441597
0,0.125,0.5,-0.030615063,6.560236e-06,0.030621624
0,0.16666666666666666,0.0,0.022156924,0.002153661,0.020003263
0,0.16666666666666666,0.016666666666666666,0.0016228966,0.0024635233,0.00084062666
0,0.16666666666666666,0.03333333333333333,-0.003515806,0.0010738,0.004589606
0,0.16666666666666666,0.05,-0.0077994354,-0.0018224791,0.0059769563
0,0.16666666666666666,0.06666666666666667,-0.01998625,-0.0060198493,0.0139664
0,0.16666666666666666,0.08333333333333333,-0.034277584,-0.011338223,0.022939362
0,0.16666666666666666,0.1,-0.046233997,-0.017607817,0.02862618
0,0.16666666666666666,0.11666666666666667,-0.055005103,-0.024637748,0.030367356
0,0.16666666666666666,0.13333333333333333,-0.062242277,-0.032225996,0.03001628
0,0.16666666666666666,0.15,-0.06983346,-0.04025361,0.029579848
0,0.16666666666666666,0.16666666666666666,-0.07881759,-0.048574384,0.030243207
0,0.16666666666666666,0.18333333333333332,-0.08847216,-0.05700612,0.031466037
0,0.16666666666666666,0.2,-0.09667041,-0.065424934,0.031245477
0,0.16666666666666666,0.21666666666666667,-0.1033086,-0.07365575,0.029652856
0,0.16666666666666666,0.23333333333333334,-0.10735552,-0.0814562,0.02589932
0,0.16666666666666666,0.25,-0.107825235,-0.08860926,0.019215971
0,0.16666666666666666,0.26666666666666666,-0.104409255,-0.09478859,0.0096206665
