# t,u
0.000000000000000000e+00 1.650093269348144531e+01
2.020202020202020374e-02 1.420236206054687500e+01
4.040404040404040747e-02 1.069690513610839844e+01
6.060606060606060774e-02 6.587986946105957031e+00
8.080808080808081495e-02 2.969656944274902344e+00
1.010101010101010222e-01 2.966906547546386719e+00
1.212121212121212155e-01 2.966900825500488281e+00
1.414141414141414366e-01 2.966900825500488281e+00
1.616161616161616299e-01 2.966900825500488281e+00
1.818181818181818232e-01 2.966900825500488281e+00
2.020202020202020443e-01 2.966900825500488281e+00
2.222222222222222376e-01 2.966900825500488281e+00
2.424242424242424310e-01 2.966900825500488281e+00
2.626262626262626521e-01 2.966887474060058594e+00
2.828282828282828731e-01 2.969298362731933594e+00
3.030303030303030387e-01 9.310994148254394531e+00
3.232323232323232598e-01 1.570888710021972656e+01
3.434343434343434809e-01 4.628787231445312500e+01
3.636363636363636465e-01 7.877737426757812500e+01
3.838383838383838675e-01 5.409180450439453125e+01
4.040404040404040886e-01 4.644235992431640625e+01
4.242424242424242542e-01 4.371948623657226562e+01
4.444444444444444753e-01 7.795735359191894531e+00
4.646464646464646964e-01 2.089556694030761719e+00
4.848484848484848619e-01 -9.110400199890136719e+00
5.050505050505050830e-01 -3.699221801757812500e+01
5.252525252525253041e-01 -3.716654205322265625e+01
5.454545454545455252e-01 -3.716661834716796875e+01
5.656565656565657463e-01 -3.716661834716796875e+01
5.858585858585858563e-01 -3.716661834716796875e+01
6.060606060606060774e-01 -3.716661834716796875e+01
6.262626262626262985e-01 -3.716661834716796875e+01
6.464646464646465196e-01 -3.716661834716796875e+01
6.666666666666667407e-01 -3.716661834716796875e+01
6.868686868686869618e-01 -3.716661834716796875e+01
7.070707070707071829e-01 -3.716661834716796875e+01
7.272727272727272929e-01 -3.716661834716796875e+01
7.474747474747475140e-01 -3.716661071777343750e+01
7.676767676767677351e-01 -3.716654205322265625e+01
7.878787878787879562e-01 -3.716346359252929688e+01
8.080808080808081773e-01 -3.699036407470703125e+01
8.282828282828283983e-01 -3.208948516845703125e+01
8.484848484848485084e-01 -2.548224258422851562e+01
8.686868686868687295e-01 -2.506969833374023438e+01
8.888888888888889506e-01 -2.495509910583496094e+01
9.090909090909091717e-01 -2.463959312438964844e+01
9.292929292929293927e-01 -2.376558303833007812e+01
9.494949494949496138e-01 -2.166949272155761719e+01
9.696969696969697239e-01 -1.771559143066406250e+01
9.898989898989899450e-01 -1.249035739898681641e+01
1.010101010101010166e+00 -7.880108833312988281e+00
1.030303030303030498e+00 -4.952050209045410156e+00
1.050505050505050608e+00 -3.417296409606933594e+00
1.070707070707070718e+00 -2.675621986389160156e+00
1.090909090909091050e+00 -2.324067115783691406e+00
1.111111111111111160e+00 -2.155896186828613281e+00
1.131313131313131493e+00 -2.073758125305175781e+00
1.151515151515151603e+00 -2.032635688781738281e+00
1.171717171717171713e+00 -2.011521339416503906e+00
1.191919191919192045e+00 -2.000405311584472656e+00
1.212121212121212155e+00 -1.994416117668151855e+00
1.232323232323232487e+00 -1.991116404533386230e+00
1.252525252525252597e+00 -1.989262461662292480e+00
1.272727272727272929e+00 -1.988200068473815918e+00
1.292929292929293039e+00 -1.987580180168151855e+00
1.313131313131313149e+00 -1.987212061882019043e+00
1.333333333333333481e+00 -1.986992716789245605e+00
1.353535353535353591e+00 -1.986857295036315918e+00
1.373737373737373924e+00 -1.986779093742370605e+00
1.393939393939394034e+00 -1.986727595329284668e+00
1.414141414141414366e+00 -1.986698985099792480e+00
1.434343434343434476e+00 -1.986685633659362793e+00
1.454545454545454586e+00 -1.986679911613464355e+00
1.474747474747474918e+00 -1.986689448356628418e+00
1.494949494949495028e+00 -1.986702799797058105e+00
1.515151515151515360e+00 -1.986731410026550293e+00
1.535353535353535470e+00 -1.986771464347839355e+00
1.555555555555555580e+00 -1.986824870109558105e+00
1.575757575757575912e+00 -1.986908793449401855e+00
1.595959595959596022e+00 -1.987027049064636230e+00
1.616161616161616355e+00 -1.987187266349792480e+00
1.636363636363636465e+00 -1.987412333488464355e+00
1.656565656565656797e+00 -1.987721323966979980e+00
1.676767676767676907e+00 -1.988150477409362793e+00
1.696969696969697017e+00 -1.988741755485534668e+00
1.717171717171717349e+00 -1.989558100700378418e+00
1.737373737373737459e+00 -1.990681529045104980e+00
1.757575757575757791e+00 -1.992228388786315918e+00
1.777777777777777901e+00 -1.994353175163269043e+00
1.797979797979798233e+00 -1.997269511222839355e+00
1.818181818181818343e+00 -2.001269340515136719e+00
1.838383838383838453e+00 -2.006747245788574219e+00
1.858585858585858785e+00 -2.014239311218261719e+00
1.878787878787878896e+00 -2.024472236633300781e+00
1.898989898989899228e+00 -2.038420677185058594e+00
1.919191919191919338e+00 -2.057389259338378906e+00
1.939393939393939448e+00 -2.083121299743652344e+00
1.959595959595959780e+00 -2.117899894714355469e+00
1.979797979797979890e+00 -2.164708137512207031e+00
2.000000000000000000e+00 -2.227349281311035156e+00
